word1,word2,word3,word4,word5,solution
No,Muro,Colpo,Tirare,Restare,Secco
Vino,Pluto,Disco,Vita,Gladiatore,Inferno
morire,mal,giudizio,colpa,laurea,causa
penne,spinta,flipper,lascia,pinza,molla
Storia,Guerra,Mio,Freccia,Lettera,Amore
Trucco,Colpo,Barba,Calza,Coda,Pennello
sciocco,dolce,spiffero,milano,pane,salame
discorso,D'Annunzio,rosso,gente,lava,fiume
uomo,occhio,carta,neve,contro,tigre
delicato,tocco,insistere,citofono,lettera,tasto
Mosca,Americano,Furia,Concerto,Pianta,Caffè
Montagna,Abbassare,Elmo,Onda,Spesa,Cresta
Marito,Carta,Berlino,Dito,Zero,Cielo
Solco,Lasciare,Schizzo,Sotto,CD,Traccia
Pote,Invisibile,Pubblico,Giurato,Fuoco,Nemico
Grassa,Piccola,Legno,Ferro,Colpo,Botte
Titolo,Mio,Amore,Amico,Corona,Tesoro
Fonte,Umano,Salutare,Colpo,Pulito,Calore
Pinguino,Fuoco,Paolo,Kiwi,Paradiso,Uccello
A,Buona,Colori,Neve,Fredda,Tavola
latte,sole,minore,grande,remo,fratello
Macchia,Bambola,Piedi,Appoggio,Mettere,Pezza
campo,grano,cavallo,arance,legale,battaglia
moto,forza,livello,vecchio,nero,mare
Pepe,Duro,Moneta,Campo,Melo,Grano
Fate,Consumo,Giovani,Girare,Raggio,Largo
Pasqua,Pace,Giglio,Napoleone,Pedonale,Isola
Folla,Maria,Sole,Turco,Umiltà,Bagno
tiro,vela,caduta,capire,piano,volo
Montagna,Tenda,Scettro,Carota,Golf,Bastone
Ruga,Brutta,Ciglia,Messa,Pantaloni,Piega
Nave,Bandiera,Carne,Casa,Settimana,Bianca
Rotta,Direttore,Seme,Italia,Dati,Banca
Sala,Paura,Secolo,Pesto,Salto,Buio
Pigna,Vulcano,Tronco,Cappello,Luce,Cono
Buonanotte,Matrimonio,Racconto,Paese,Morale,Favola
Porta,Ferrara,Via,Rosa,Disegno,Foglio
Sole,Mani,Lavoro,Avanti,Polizia,Posto
Amore,Spirito,Tempo,Taxi,Canto,Libero
Sabato,Fuori,Quarto,Critica,Finale,Fase
Vincere,Niente,Brutto,Morire,Volare,Paura
Anello,Cortina,Vendere,Filo,Occhi,Fumo
Petto,Deserto,Verbo,Gira,Popolo,Voce
Olio,Fare,Aereo,Cantare,Maria,spia
Pane,Gioco,Testa,Osso,Zoccolo,Duro
Denaro,Ospite,Naso,Fritto,Bruciato,Puzza
Pelle,Olio,Cavaliere,Scappare,Bosco,Macchia
Leone,Occhio,Mettere,Spirito,Mondo,Parte
Anima,Sport,Ufficiale,Esame,Centro,Medico
Governo,Tornare,Energia,Salve,Sotto,Carica
vino,medio,cielo,occhio,piaga,dito
testa,ballo,foto,lavoro,A,gruppo
Fondo,Nero,Luna,Scarti,Scienza,Pozzo
Luogo,Fuoco,Amore,Osso,Romano,Sacro
Amore,Grazie,Roma,Onlio,Saluto,Arrivederci
porco,collo,libero,punta,staffa,piede
fuoco,pilastri,piedi,giú,madre,terra
legno,forte,continua,malattia,veloce,cassa
gola,tirare,foglia,carne,magra,secca
paola,canzone,ricambio,novanta,articolo,pezzo
passato,bianco,aristocrazia,roberto,scarpe,crrema
lenta,zeus,leonardo,achille,lampedusa,tartaruga
verde,comunale,avaro,giochi,macchine,parco
vita,lì,sale,seggio,pan,via
fare,luce,porto,sostegno,tiro,palo
largo,X,onda,luce,ruota,raggio
scivolo,mezza,minima,andare,guerra,pensione
canna,vita,maggiore,pistola,amico,cane
venezia,vita,fiera,fiori,orecchie,mercante
armadio,vecchio,vacanza,lucchetti,mobile,ponte
montagna,buttarsi,ascolto,massimo,curva,picco
grosso,insalata,dentro,rotonda,giallo,mare
svizzera,monaco,cinema,cerchio,parco,paradiso
fare,stagione,orologio,cinese,segnare,calendario
mare,servizio,facile,salute,staffa,bicchiere
gonna,nazionale,carro,tenere,libera,ruota
blocco,ferrari,cultura,critica,partito,massa
trombetta,carne,rosso,muto,bandiera,pesce
passare,limite,avanti,tutto,mare,oltre
bel,che,comune,famiglia,stereo,tipo
sangue,tagliare,bianco,autunno,tavola,vino
telefono,cane,scrivo,tesoro,musica,amico
sacro,pettine,molla,buco,duro,osso
amico,rosso,lente,cintura,terra,fuoco
forza,cercare,duro,casa,rapporto,lavoro
nero,nudo,croce,contorno,terzo,occhio
grosso,cerchio,parco,rotonda,mare,lento
cosa,testa,segreto,impresa,grande,successo
dolce,male,paura,personale,finta,niente
capanna,spesa,coppi,mondo,senza,tetto
industria,canzone,squadra,porto,ultimo,capitano
famiglia,cadere,forma,città,capitale,vizio
mondo,testo,numero,partito,senso,unico
unità,area,pianto,cinema,buio,crisi
mento,fortuna,sapone,voce,lampada,porta
caro,dolce,re,borsa,senatore,vita
arte,oro,carte,senza,volume,regola
guerra,dono,notte,medico,europa,consiglio
desiderio,viva,vecchia,lingua,ritorno,fiamma
terra,mina,figli,perfetto,signor,nessuno
numero,bianco,cavalli,festival,famiglie,circo
vetro,benzina,piedi,cintura,sigillo,piombo
gondola,tartaruga,riga,pesce,parcheggio,pettine
amore,nazione,anonimo,telefono,maratona,messaggio
macchina,giro,cucina,potere,visione,presa
prova,contro,comune,medio,atto,valore
dita,corso,basso,spaghetti,cassa,chitarra
monti,critico,greco,basso,legno,profilo
ora,cabina,stanza,nero,acqua,buco
caro,stazione,fuoco,macchia,buono,benzina
olio,cipolla,grassi,coraggio,oca,fegato
difetto,dipinto,danno,auto,attestato,stima
perdere,oro,automobile,goal,ladro,occasione
spugna,mele,madre,bianco,sotto,aceto
veloci,bionda,ottobre,cento anni,salsicce,birra
dare,bianco,aperto,conquista,temporale,spazio
Venere,Mano,Verità,Parete,Terra,Nuda
giovane,verbale,debito,matrimonio,marinaio,promessa
disco,leva,mano,lingua,mordere,freno
classe,vivo,uomo,lavoro,monaco,abito
statua,ali,lacca,brutta,passare,cera
inter,partito,libertà,piano,uomo,azione
materasso,mare,bagno,rabbia,latte,schiuma
ufficio,ragione,pronto,fuori,agitare,uso
marinaio,secco,fortuna,gelato,due volte,biscotto
vita,brutta,automobile,risposta,tenère,botta
svizzera,sabbia,cipolla,ben,digitale,orologio
animale,naturale,bere,colpo,nostromo,spugna
cuore,punto,moneta,carne,luce,debole
fuori,spese,fisico,pubblico,matematica,esercizio
giro,cavallo,bandiera,cattiva,dama,compagnia
prova,cobra,tartaruga,goccia,Elton John,occhiali
punto,venire,servizio,posizione,istituto,luce
uomo,parola,piano,personale,ambiente,difesa
uomo,fuori,sicurezza,vestito,vincere,misura
dente,strada,panda,passo,buono,gigante
onda,sotto,morale,miseria,Bonifacio VIII,schiaffo
nord,letto,comico,senso,B,lato
caffè,arte,pantaloni,gassman,casa,bottega
Jekyll,cortesia,piena,tre,giuramento,formula
fuori,triangolo,lavoro,gioco,governo,squadra
punto,carta,amaro,inglese,nero,riso
