word1,word2,word3,word4,word5,solution
TORO,VITA,STUDIO,PUGILE,CANGURO,BORSA
LEVA,MARE,IN,FERRO,IMPROVVISATO,BRACCIO
B,RIO,SGHERRO,ABILE,MONTESANO,BRAVO
UNGHIE,NASO,CANDELA,BALLA,PIETOSA,BUGIA
INIZIO,CALCOLI,FORTUNA,PISTOLA,MERCATO,CALCIO
NATO,UOVA,TORACE,FORZA,GEMELLI,CAMICIA
2,AGO,NAVE,CAPPOTTO,ASIA,CAMMELLO
RACCOLTA,PUPELLA MAGGIO,ATTENTO,GIOCO,SORDO,CAMPANA
GIALLO,DIGESTIVO,MODENA,GABBIETTA,TENERIFE,CANARINO
BEETHOVEN,INCAPACE,PISTOLA,ZECCA,PUNTA,CANE
1000,RE,SPADA,POTASSIO,BEFANA,CAPPA
INTRODUZIONE,COWBOY,FUNGO,23,FARE TANTO,CAPPELLO
ROSSO,UCCELLO,VIRTù,PUNTO,CLAUDIA,CARDINALE
SALATO,DIARIO,LUCREZIO,AMICO,ESTINTO,CARO
TIGRE,CANTA,VETRATA,7 E MEZZO,CARBONE,CARTA
MONTI,NEVE,MAGLIA,FREDDO,TIRARE,CATENA
CAPO,POSA,RIDOTTO,FENICE,POMPEI,CENERE
44,PARTO,LUGLIO,RAGAZZI,ZAR,CESARE
PAOLA,ACQUA,ASSISI,UOVO,LO SCURO,CHIARA
TESTA,VIN BRULè,RITIRARSI,GIUBBOTTO,FISSO,CHIODO
SCHIAVO,BAMBINA,SONO IO,ITALIA 90,Nì,CIAO
CONIGLIO,MOTORE,PAPERONE,TURACCIOLO,MONTANELLI,CILINDRO
BASKET,V,PENTAGONO,SENSI,LUSTRO,CINQUE
ROSSA,VENEZIANA,DOCCIA,SOTTOTERRA,TRECCIA,CIPOLLA
VERTEBRE,PIANOFORTE,ULTIMO,OCCHIO,TESTA,CODA
CASSA,VAMPIRO,TIRARE,ROTTA,V,COLLO
FIFONE,PLAYBOY,CACCIATORA,CAROTA,ORECCHIONI,CONIGLIO
FATTI,CORTE,CHIUDERE,BRUNO,CALCOLI,CONTI
AFRICA,ASSOLUTAMENTE NO,ABBONDANZA,FIATO,FORTUNA,CORNO
PANE,LOTTA,ALPINI,SPIRITO,POPò,CORPO
ORO,CAVALLO,SACCHI,AUTOBUS,FRETTA,CORSA
BREVI,FARE,CONTI,ONDE,DAMA,CORTE
BRAVA,LIBRO,SEDANO,CARA,NIKKA,COSTA
RAIDUE,6,MAGICO,POTENZA,DISCOTECA,CUBO
GOLA,PIETRA,AFFARI,NOTTE,CARCIOFO,CUORE
CAMMELLO,ROMMEL,PARIGI-DAKAR,SETE,FATA MORGANA,DESERTO
ZUCCHERO,BAGUETTE,CARBONIO,MARILYN,BASEBALL,DIAMANTE
4,CASA,MA Và,MILAN,BUON,DIAVOLO
D'ORO,TELEFONO,BAMBINA,RIGIDO,FREESBEE,DISCO
CAVALLI,QUADRATO,FUORI CASA,CON,PUNTI,DUE
COMO,NOVELLINO,VOGLIO,WIMBLEDON,ATTILA,ERBA
BRACCIO,TOCCARE,CORTINA,VECCHIO,GOLF,FERRO
ROSSO,CAMPANILE,UCCIDERE,MAMMA,JOVANOTTI,FESTA
FINE,MOSCA,SOGNI,EST,ORGOGLIOSA,FIERA
SECONDO,MONDO,CHIC,FIERA,SILVESTRO,FINE
CAPELLI,BURRO,NEONATO,VELA,NEVE,FIOCCO
ANNI,APE,FIORENTINA,SARDO,ZUCCA,FIORE
LINEA,10.000 METRI,ARTICOLO,SCI,MARE,FONDO
FUORI,VIZIO,GRANA,ETICHETTA,PESO,FORMA
SVIZZERA,FORTE,MISERIA,SINCERO,PORTO,FRANCO
LINGUA,PAGLIA,ARTIFICIALE,SPARARE,S.ANTONIO,FUOCO
AURORA,UNITO,ESAURITO,SCIOLTO,ORARIO,FUSO
BOXE,S.PIETRO,FRANCO,PAPPA,BARI,GALLO
SPALLA,GIACOMO,77,KESSLER,BUGIE,GAMBE
SECCO,WHISKEY,PALAZZO,OCCHI,ZERO,GHIACCIO
FANTE,LEOPARDI,COPIONE,FORTUNA,JUVE,GOBBO
FIORELLO,LIVELLO,BOXE,PIEMONTESE,SVIZZERA,GUARDIA
SCURO,LETTERA,UNICO,OBBLIGATA,IVA,IMPOSTA
ADAMO,SILENZIO,SPIA,SECONDO,LIBRO,INDICE
VALLE,SAN LORENZO,ASCIUGARE,GORGONZOLA,COCCODRILLO,LACRIME
MERCURIO,AL,OCCASIONE,POLLI,TOTò,LADRO
CAPPELLO,CINESE,CUPPOLA,CERCARE,GENOVA,LANTERNA
CROCE,VENA,TESTA,SANDALO,PINOCCHIO,LEGNO
T,ARIA,AEREO,37 E 1,PERDERE,LINEA
LUNGA,PELI,FUOCO,MADRE,GATTO,LINGUA
STAGNO,SORELLA,TOGNI,POZZO,CHIARO,LUNA
CINQUE,FIORE,JOE,MARIA,PRIMO,MAGGIO
SANT'ANTONIO,ROSA,COPPA,LORDO,SALVADANAIO,MAIALE
STRETTA,CARTE,OPERA,ZINGARA,CONTRO,MANO
PISELLO,FELICITà,SQUADRA,SALTO IN ALTO,PIAZZA,MATERASSO
MARCIA,BIANCO,METà,COMUNE,TESTIMONE,MATRIMONIO
BACIO,SOLE,MESSA,LA BORSA,MARZULLO,MEZZANOTTE
NOTTE,VERDI,QUARTO,GRAZIE,FOGLIE,MILLE
MAZZINI,1978,RENATO,MATITA,TIGRE,MINA
PAESE,PULITO,FONTANA,TERRA,TERZO,MONDO
NAPOLEONE,INIZIO,MUCCHIO,ANDARE,GRAPPA,MONTE
PESO,PESCA,PIZZO,ZITTO,SAMBUCA,MOSCA
GERUSALEMME,PINK FLOYD,GOMMA,SUONO,1989,MURO
SORRENTO,PESCA,POLSO,VITELLO,BURRO,NOCE
ADAMO,CONSIGLIO,METRO,ALI BABà,BIANCO,NOTTE
TESTA,FAGIOLO,GIUDA,COLPO,PIù O MENO,OCCHIO
CONO,VINO,CINESE,PETER PAN,GOVERNO,OMBRA
LAUZI,SURF,MESSA,RADIO,VERDE,ONDA
S.BENEDETTO,NON VEDERE,PUNTA,CHILOWATT,ADESSO,ORA
